Txn Hash,Blockno,UnixTimestamp,DateTime (UTC),Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX
0x36ae16bd962f931433b9dbb6fa17f8bc0f4383e2ffa3f2918b00d1e54b5aa4fc,18473543,1698796811,2023-11-01 00:00:11,Sell,276.542686768429, xperp, 0.135013439286652, ETH,0.00048822,ETH per xperp,Uniswap V2
0x6f52f7ca1fa83e44d75314e6f95ca6c933afaf35548a454f190b55b172737c0f,18473543,1698796811,2023-11-01 00:00:11,Sell,13940074.5036735, Heth, 0.211103863914636, ETH,0.00000002,ETH per Heth,Uniswap V2
0xcf4e21dc611cbb5a8907ccf9a53371ad9b7dc27d2751eb83eaae504e23da1ccc,18473543,1698796811,2023-11-01 00:00:11,Buy,0.125, ETH, 11713474.1787299, WHALE,0.00000001,ETH per WHALE,Uniswap V2
0x9b3500656bba4004bae9295893459fb0e76019ea3f5a2c2deae973ae74978ed0,18473543,1698796811,2023-11-01 00:00:11,Buy,2, ETH, 85.2959980393557, UNIBOT,0.02344776,ETH per UNIBOT,Uniswap V2
0x52fb6222d1ddcaa6c86f9a23bd2aef3edd813e841488c3103700672475787460,18473543,1698796811,2023-11-01 00:00:11,Sell,180000, GALA, 0.181690837050841, ETH,0.00000101,ETH per GALA,Uniswap V2
0x52fb6222d1ddcaa6c86f9a23bd2aef3edd813e841488c3103700672475787460,18473543,1698796811,2023-11-01 00:00:11,Sell,0.181690837050841, ETH, 328.76086, USDC,1,809.45206339,USDC per ETH
0x713a758e22fffb2380778b6c74e54fbf5229b82ff95cd5695f72fb0fa1662bf8,18473543,1698796811,2023-11-01 00:00:11,Buy,0.0739263028654848, ETH, 3.19674574996749, UNIBOT,0.02312549,ETH per UNIBOT,Uniswap V3
0x209dde772608d970dbf3272bcc5d712b45679086982591e801b987ebecd55051,18473543,1698796811,2023-11-01 00:00:11,Buy,0.01, ETH, 331867.787074561, йашулйаш,0.00000003,ETH per йашулйаш,Uniswap V2
0x95c7b53e148f0994f75b3945195efe27361b20f9fcf9a9c8aa6aa68ed89a753b,18473543,1698796811,2023-11-01 00:00:11,Sell,0.04, ETH, 72.377084, USDC,1,809.42710000,USDC per ETH
0x95c7b53e148f0994f75b3945195efe27361b20f9fcf9a9c8aa6aa68ed89a753b,18473543,1698796811,2023-11-01 00:00:11,Buy,72.377084, USDC, 3268.91408545426, ASTO,0.02214102,USDC per ASTO,Uniswap V2
0x4bb3e6ff8c3330f0ee291fd19a36e7c8ea8d27fb036ea42396964ab849bf0fd8,18473543,1698796811,2023-11-01 00:00:11,Sell,650000000000, TOAD, 5.16160662878835, ETH,0.00000000,ETH per TOAD,Uniswap V2
0xe77cd1ab1fe4b2065641f94bcec1bf56251b6b38460490eee8d6ab17156c1845,18473543,1698796811,2023-11-01 00:00:11,Buy,2.44660154204568, ETH, 310216189033.887, TOAD,0.00000000,ETH per TOAD,Uniswap V2
0x448e5b435f3cc99136a9915e318b1a39bd9ef3a486d237b36da22a09673e30f0,18473543,1698796811,2023-11-01 00:00:11,Sell,11991293.9645671, BILL, 0.0695844438746108, ETH,0.00000001,ETH per BILL,Uniswap V2
0x7cff5a9d6b9c175fb9d9250cffbd77cb0909ec9940db09455d7832b9104e34f7,18473543,1698796811,2023-11-01 00:00:11,Sell,960, $PAAL, 0.0376735212336674, ETH,0.00003924,ETH per $PAAL,Uniswap V2
