Txn Hash,Blockno,UnixTimestamp,DateTime (UTC),Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX
0x9f01bea2d81cd6d983e548b1509eb91b1a773d0a0b8bfeb5b4c7859a7c5db08c,16315362,1672617611,2023-01-02 00:00:11,Sell,32743.4592630755, LDO, 29.3872489950432, ETH,0.00089750,ETH per LDO,Uniswap V3
0x8caae189108cd2a5d3adf13e334aef4837a0ded6e09a95169a3c93876e3a9638,16315362,1672617611,2023-01-02 00:00:11,Sell,5346.81042808843, LDO, 4.79026240631315, ETH,0.00089591,ETH per LDO,SushiSwap
0x055ff51581feb593e9d5c12ae3c6168969493d773894a48601b9ae3a0f2b51d2,16315362,1672617611,2023-01-02 00:00:11,Buy,0.375180799940493, ETH, 12530246.0599724, CHOMP,0.00000003,ETH per CHOMP,Uniswap V2
0x041650999b570a6491adec9d19fc5a5461b6a9fa218b7c13f27ad2c01b5d3810,16315362,1672617611,2023-01-02 00:00:11,Buy,0.10875809077351, ETH, 3331498.82831092, CHOMP,0.00000003,ETH per CHOMP,Uniswap V2
0x53c0a741c53019667e1924f752142b910b2ebfd4db144e0a0cc8a6269ade094e,16315362,1672617611,2023-01-02 00:00:11,Sell,12530227.6132283, CHOMP, 0.386873061837636, ETH,0.00000003,ETH per CHOMP,Uniswap V2
0x39d426c44e8defbb159525844e757aff29e3fea3a867059ad32757c2c99ce74d,16315362,1672617611,2023-01-02 00:00:11,Buy,595, USDC, 0.495675832492168, ETH,1,200.38129963,USDC per ETH
0x39d426c44e8defbb159525844e757aff29e3fea3a867059ad32757c2c99ce74d,16315362,1672617611,2023-01-02 00:00:11,Buy,0.495675832492168, ETH, 256.987887356, TONCOIN,0.00192879,ETH per TONCOIN,Uniswap V3
0x2b51ea61eb0608c3e8bab261648a1efa0001e48084abaf53429fd1fafc94d5b2,16315362,1672617611,2023-01-02 00:00:11,Sell,30000, $SOL, 0.0196630956001643, ETH,0.00000066,ETH per $SOL,Uniswap V2
0x2b51ea61eb0608c3e8bab261648a1efa0001e48084abaf53429fd1fafc94d5b2,16315362,1672617611,2023-01-02 00:00:11,Sell,122059, $SOL, 0.0766687396601061, ETH,0.00000063,ETH per $SOL,Uniswap V2
0x7f1102525e5371067df0cacc364d7669f7db0a91ebbfd5a739dd350ad3280baa,16315362,1672617611,2023-01-02 00:00:11,Buy,0.05, ETH, 716184769.742773, HC,0.00000000,ETH per HC,Uniswap V2
