date,open,high,low,close
2023-11-18 04:00:00,0.00018206,0.00018208,0.000182,0.00018208
2023-11-18 08:00:00,0.00018601,0.0001861,0.00018206,0.0001861
2023-11-18 12:00:00,0.0001821,0.00018408,0.00018203,0.00018408
2023-11-18 16:00:00,0.00018205,0.00018604,0.00018205,0.00018404
2023-11-18 20:00:00,0.00018206,0.00018612,0.00018195,0.0001821
2023-11-19 00:00:00,0.00018411,0.00018612,0.00018207,0.00018219
2023-11-19 04:00:00,0.00018216,0.00018613,0.00018207,0.0001861
2023-11-19 08:00:00,0.00018216,0.00018414,0.00018206,0.00018414
2023-11-19 12:00:00,0.00018205,0.00018621,0.00018205,0.00018219
2023-11-19 16:00:00,0.00018199,0.000186,0.00018199,0.00018205
2023-11-19 20:00:00,0.00018615,0.00019008,0.00018206,0.00018698
2023-11-20 00:00:00,0.00019012,0.00019012,0.00018396,0.00018396
2023-11-20 04:00:00,0.00018612,0.00018612,0.000184,0.00018607
2023-11-20 08:00:00,0.00018612,0.00018612,0.00018206,0.0001861
2023-11-20 12:00:00,0.00018202,0.00018402,0.00018202,0.00018402
2023-11-20 16:00:00,0.00018624,0.00018624,0.00018213,0.00018615
2023-11-20 20:00:00,0.00018616,0.00018626,0.00018609,0.00018609
2023-11-21 00:00:00,0.00018206,0.00018617,0.00018206,0.00018407
2023-11-21 04:00:00,0.00018209,0.00018629,0.00017213,0.00017213
2023-11-21 08:00:00,0.00016914,0.00017508,0.00016909,0.00017508
2023-11-21 12:00:00,0.00017505,0.00017505,0.00016904,0.00016904
2023-11-21 16:00:00,0.00017207,0.00017502,0.00016903,0.00017502
2023-11-21 20:00:00,0.00016875,0.0001747,0.00016875,0.00016896
2023-11-22 00:00:00,0.00017215,0.00017507,0.00017209,0.00017495
2023-11-22 04:00:00,0.00017514,0.00017514,0.00016896,0.00017207
2023-11-22 08:00:00,0.00016908,0.00017516,0.000169,0.000169
2023-11-22 12:00:00,0.00017505,0.00017514,0.00017204,0.00017514
2023-11-22 16:00:00,0.0001691,0.00017535,0.0001691,0.00017535
2023-11-22 20:00:00,0.00017196,0.00017196,0.00016902,0.00016903
2023-11-23 00:00:00,0.00017503,0.00017503,0.00016898,0.00017204
2023-11-23 04:00:00,0.00017502,0.0001751,0.00016907,0.00016907
2023-11-23 08:00:00,0.00017506,0.00017506,0.00016905,0.00016905
2023-11-23 12:00:00,0.00017504,0.00017504,0.00016898,0.00017492
2023-11-23 16:00:00,0.00017502,0.00017508,0.00016903,0.00017498
2023-11-23 20:00:00,0.000175,0.00017504,0.00016901,0.00017495
2023-11-24 00:00:00,0.00017499,0.00017502,0.00016894,0.00016894
2023-11-24 04:00:00,0.000175,0.00017514,0.00016898,0.00016898
2023-11-24 08:00:00,0.00016902,0.00017504,0.00016902,0.000172
2023-11-24 12:00:00,0.00017503,0.00017503,0.00016898,0.00017496
2023-11-24 16:00:00,0.00017495,0.00017498,0.00017201,0.00017498
2023-11-24 20:00:00,0.00017487,0.00017521,0.00017207,0.00017521
2023-11-25 00:00:00,0.00016907,0.00017511,0.00016902,0.0001692
2023-11-25 04:00:00,0.00017514,0.00017514,0.00016906,0.0001691
2023-11-25 08:00:00,0.00017509,0.00017509,0.00016908,0.00016913
2023-11-25 12:00:00,0.0001751,0.0001751,0.00016907,0.00016907
2023-11-25 16:00:00,0.0001691,0.00017506,0.0001691,0.00017506
2023-11-25 20:00:00,0.0001751,0.00017511,0.00017208,0.00017511
2023-11-26 00:00:00,0.000175,0.000175,0.00016914,0.00017211
2023-11-26 04:00:00,0.00016907,0.00016909,0.00016904,0.00016904
2023-11-26 08:00:00,0.00017512,0.00017512,0.00016901,0.00017204
2023-11-26 12:00:00,0.00017507,0.00017507,0.0001691,0.00017213
2023-11-26 16:00:00,0.00016902,0.00017502,0.00016898,0.00017502
2023-11-26 20:00:00,0.00017506,0.00017506,0.00016904,0.00016904
2023-11-27 00:00:00,0.00016907,0.00017504,0.00016907,0.00017503
2023-11-27 04:00:00,0.00016903,0.0001753,0.00016903,0.0001753
2023-11-27 08:00:00,0.0001691,0.00017501,0.00016893,0.00016893
2023-11-27 12:00:00,0.000175,0.000175,0.00016894,0.00016894
2023-11-27 16:00:00,0.00016911,0.00016916,0.00016904,0.00016904
2023-11-27 20:00:00,0.00016904,0.00016908,0.00016885,0.00016893
2023-11-28 00:00:00,0.00016901,0.00016907,0.00016896,0.00016896
2023-11-28 04:00:00,0.00017193,0.00017193,0.00016897,0.00016897
2023-11-28 08:00:00,0.00016901,0.00017486,0.00016896,0.00017486
2023-11-28 12:00:00,0.00016903,0.00017204,0.00016894,0.00017204
2023-11-28 16:00:00,0.00016898,0.00017202,0.00016898,0.000172
2023-11-28 20:00:00,0.00017894,0.00018153,0.00017894,0.00018153
2023-11-29 00:00:00,0.00018197,0.0001902,0.00018109,0.00019006
2023-11-29 04:00:00,0.00019121,0.00019188,0.00018135,0.00018135
2023-11-29 08:00:00,0.00018128,0.00018164,0.00018109,0.00018164
2023-11-29 12:00:00,0.0001823,0.0001823,0.00016903,0.00016903
2023-11-29 16:00:00,0.000169,0.00016921,0.000169,0.0001691
2023-11-29 20:00:00,0.00017995,0.00017995,0.00017782,0.00017827
2023-11-30 00:00:00,0.00018,0.00018,0.00017777,0.00017777
2023-11-30 04:00:00,0.00017774,0.00017781,0.00017766,0.00017778
2023-11-30 08:00:00,0.00017829,0.00017829,0.00017022,0.00017022
2023-11-30 12:00:00,0.0001703,0.00017204,0.00017011,0.00017014
